TripID,ScooterID,StartTime,EndTime,StartLatitude,StartLongitude,EndLatitude,EndLongitude,TripDistance
b3d0f47d-4916-4583-8e76-d919743425d7,34ac8bd0-7897-4228-9af3-e24f3a32cb05,9/30/18 10:35,9/30/18 10:40,38.25,-85.74,38.25,-85.74,0.36
77ead46b-2cc3-4219-9f99-2eee34719403,623de3f7-ea5f-4e99-ba8c-57ef2f7f093c,9/30/18 10:38,9/30/18 10:44,38.25,-85.76,38.25,-85.76,0.68
edd5b57d-0d18-43ba-84d5-cf396842cede,0a2f200d-827e-4350-bed2-e6b405ef17a8,9/30/18 10:43,9/30/18 11:00,38.25,-85.74,38.26,-85.76,1.49
c27fa033-0a3b-4269-980e-9d4cda5b2296,fc11a0d2-13ae-404d-ae52-f43c3c633e12,9/30/18 10:45,9/30/18 11:00,38.25,-85.74,38.26,-85.76,1.47
c54c3e08-6c9a-43e6-8dac-fb3f851c49ca,7b55437a-4dea-4b4c-bb78-ee6afff8ef92,9/30/18 10:52,9/30/18 10:55,38.25,-85.74,38.25,-85.74,0.06
9960abc0-babe-4d12-a752-c5807bea4425,9885ab38-bb11-42bd-ad1d-e66336922fb5,9/30/18 11:00,9/30/18 11:03,38.24,-85.72,38.24,-85.72,0.11
f5dd66bd-31a6-4349-8220-5ce2ad96599c,d2779b64-926f-42e2-9bd7-d3353182a29c,9/30/18 11:02,9/30/18 11:10,38.26,-85.76,38.25,-85.76,0.67
fac53674-57ca-4858-87ca-a8d0a8d55e49,15c1a26b-10bd-4ab2-917a-8904390f0674,9/30/18 11:03,9/30/18 11:05,38.24,-85.72,38.24,-85.72,0
5a9226f2-6f88-400a-b5c6-f27bf8d2ec98,1fe846e9-d555-42c9-b55b-4fb1a1d95f62,9/30/18 11:08,9/30/18 11:10,38.24,-85.72,38.24,-85.72,0.31
405916ac-7477-4ed3-bb0d-fa454b88a0c3,a5fd2599-3c1f-44ff-b34e-b69b9e0fd64b,9/30/18 11:08,9/30/18 11:11,38.24,-85.72,38.24,-85.72,0.43
2b9827f1-3109-4a7b-ac4d-3df60fb93672,80b20c8f-e071-4291-9230-cc64ac7925cf,9/30/18 11:10,9/30/18 11:33,38.25,-85.75,38.25,-85.76,2.11
c2c689cb-d176-47bf-ba64-6e66da8653b7,0733c44c-2b83-47f9-a2ee-e69292bbd1a4,9/30/18 11:11,9/30/18 12:58,38.25,-85.76,38.25,-85.76,0.42
f2b883b5-e294-4e43-bc24-48d00dc69808,1b8d06ec-b991-49e6-9757-4607eb570a4c,9/30/18 11:11,9/30/18 11:27,38.25,-85.75,38.25,-85.75,2.17
f77a84b2-6a96-4498-8a47-f185c6a66977,c7c1c2d4-e22e-4c60-ad5b-b8d62377baa3,9/30/18 11:11,9/30/18 11:34,38.25,-85.75,38.26,-85.75,1.8
a2272e15-95bc-4924-9efc-8f972523dca2,afc5777d-6bcc-4f3c-a837-87d41fb5f0e5,9/30/18 11:12,9/30/18 11:23,38.25,-85.75,38.26,-85.75,1.74
017dcd63-1a4a-4d20-a403-ff1d369fe10c,a5fd2599-3c1f-44ff-b34e-b69b9e0fd64b,9/30/18 11:13,9/30/18 11:16,38.24,-85.72,38.24,-85.73,0.25
b5e9f448-3d30-421e-a37b-2dfcb381ea06,1cec460e-c722-4afa-8ffe-0406a1527c59,9/30/18 11:13,9/30/18 11:15,38.26,-85.76,38.26,-85.76,0
d4063b7d-5362-43a5-8c4e-298b5f02a67a,2f9d457d-586f-4829-b2cd-65e1134db05f,9/30/18 11:17,9/30/18 11:19,38.23,-85.71,38.23,-85.71,0
61b12e03-5ddb-4c1a-8bca-508084770a06,4f2b3f56-1a5b-422b-a859-5e88f57374be,9/30/18 11:18,9/30/18 11:25,38.24,-85.73,38.24,-85.73,0.5
37e6a7ea-1f31-4c3d-a746-3352bec5f322,0f18529e-008d-4cb1-be8a-957af58a0d2f,9/30/18 11:19,9/30/18 12:07,38.24,-85.72,38.24,-85.73,5.97
9deaf6ab-41db-405c-9975-ffc0c4401ccf,5c713164-f278-47e0-b3d2-7184add4e427,9/30/18 11:19,9/30/18 11:21,38.24,-85.72,38.24,-85.72,0.13
6386273a-7318-4ed7-8769-5df9dc499822,52af9c0c-80be-4b47-b099-c3a97232ffb6,9/30/18 11:20,9/30/18 11:25,38.22,-85.69,38.22,-85.69,0.68
03888842-a791-4916-b5ee-9a069b782de3,fc11a0d2-13ae-404d-ae52-f43c3c633e12,9/30/18 11:21,9/30/18 11:30,38.26,-85.76,38.26,-85.76,0.5
